action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,noir,history,horror,musical,mystery,romance,sci fi,short Film,sport,superhero,thriller,war,western,wikipedia_movie_id,mean_male_actor_age,mean_female_actor_age,average_number_of_films_actors_played_in,percent_female_cast,compound,experiment_scientist_power_creature,body_vampire_child_night,money_steal_prisoner_bank_drug,team_game_coach_player,ship_alien_earth_attack,murder_police_gang_fight_crime,agent_shoot_military_bomb,band_family_show_music_dream,family_father_mother_daughter_wedding,home_school_night_parent_party_decide,escape_camp_attack_truck,movie_woman_play_character_role,averageRating,movie_release_date
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480748,30.8,25.6,10.5,0.5,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.08839499950408936,0.0,0.08221600204706192,0.8149579763412476,0.0,0.0,4.6,1994.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,250012,40.68817498246853,34.75740314880939,12.541714947032604,0.34507786710242655,-0.9908,0.022545000538229942,0.058722998946905136,0.0,0.0,0.0,0.027495000511407852,0.04712799936532974,0.0,0.0,0.12066099792718887,0.7216479778289795,0.0,7.3,1985.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12136473,44.0,47.6,11.125,0.625,-0.1027,0.5787230134010315,0.3379170000553131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,2007.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18950355,35.0,46.0,9.0,0.3333333333333333,-0.5423,0.4607180058956146,0.0,0.0,0.11342299729585648,0.0,0.2663080096244812,0.0,0.0,0.12249799817800522,0.0,0.0,0.0,5.6,1993.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14653703,40.68817498246853,34.75740314880939,12.541714947032604,0.34507786710242655,-0.2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9647049903869629,0.0,0.0,5.2,1988.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12695008,46.142857142857146,40.4,17.666666666666668,0.4166666666666667,0.9828,0.0,0.0,0.0,0.05531900003552437,0.0,0.0,0.0,0.26747098565101624,0.10531900078058243,0.5684340000152588,0.0,0.0,5.5,2008.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8859517,36.25,23.5,17.833333333333332,0.3333333333333333,-0.9952,0.15341000258922577,0.0,0.0,0.14294099807739258,0.0,0.14937099814414978,0.0,0.07085999846458435,0.049265000969171524,0.40696099400520325,0.024466000497341156,0.0,4.6,2003.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25008319,18.5,34.75740314880939,1.0,0.0,-0.9925,0.0,0.5937520265579224,0.0,0.0,0.0,0.0477369986474514,0.06406699866056442,0.26289498805999756,0.0,0.0,0.027990000322461128,0.0,4.4,2007.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1671520,36.375,37.333333333333336,23.818181818181817,0.2727272727272727,0.9723,0.0,0.29582199454307556,0.0,0.0,0.1972389966249466,0.0,0.0,0.0434969998896122,0.0,0.38408100605010986,0.0,0.07698799669742584,7.3,2005.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21604407,40.68817498246853,24.0,3.0,1.0,0.128,0.2764489948749542,0.24608999490737915,0.0,0.0,0.0,0.0,0.25832799077033997,0.06267599761486053,0.0,0.0,0.0,0.1382029950618744,6.8,2008.0
